status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
implemented,inc_dec,C6,DEC,ZPG,5,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; read(TMP); ; TMP2--; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=dec_c_zpg; cmos-path handler; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,C7,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,inc_dec,C8,INY,IMP,2,read_pc(); ; Y++; ; set_nz(Y); ; prefetch();,no,no,read,backlog,high (mame opcode map),mame_handler=iny_imp; cycles_source=mame_seq_derived
implemented,alu,C9,CMP,IMM,2,"TMP = read_pc(); ; PC++; ; do_cmp(A, TMP); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cmp_imm; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,inc_dec,CA,DEX,IMP,2,read_pc(); ; X--; ; set_nz(X); ; prefetch();,no,no,read,backlog,high (mame opcode map),mame_handler=dex_imp; cycles_source=mame_seq_derived
planned,nop,CB,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
implemented,alu,CC,CPY,ABS,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; do_cmp(Y, TMP2); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cpy_aba; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,alu,CD,CMP,ABS,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cmp_aba; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,inc_dec,CE,DEC,ABS,6,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; read(TMP); ; TMP2--; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=dec_c_aba; cmos-path handler; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,CF,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,control,D0,BNE,REL,1/3,"TMP = read_pc(); ; PC++; ; if(!(P & F_Z)) { ; read_pc(); ; if(page_changing(PC, int8_t(TMP))) { ; read_arg(set_l(PC, PC+int8_t(TMP))); ; PC += int8_t(TMP); ; prefetch();",mode-dependent,yes,control-flow,backlog,high (mame opcode map),mame_handler=bne_rel; cycles_source=mame_seq_derived
