opcode_hex,cmd_class,cmd_expected_mnemonic,cmd_expected_bytes,cmd_expected_cycles,cmd_source_note,java_mnemonic,java_mode,java_bytes,java_cycles,mnemonic_match,bytes_match,cycles_match,overall
A4,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDY,ZPG,2,3,n/a,n/a,n/a,n/a
A5,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDA,ZPG,2,3,n/a,n/a,n/a,n/a
A6,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDX,ZPG,2,3,n/a,n/a,n/a,n/a
A7,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
A8,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,TAY,IMP,1,2,n/a,n/a,n/a,n/a
A9,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDA,IMM,2,2,n/a,n/a,n/a,n/a
AA,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,TAX,IMP,1,2,n/a,n/a,n/a,n/a
AB,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
AC,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDY,ABS,3,4,n/a,n/a,n/a,n/a
AD,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDA,ABS,3,4,n/a,n/a,n/a,n/a
AE,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDX,ABS,3,4,n/a,n/a,n/a,n/a
AF,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
B0,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,BCS,REL,2,2,n/a,n/a,n/a,n/a
B1,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDA,IND_Y,2,5,n/a,n/a,n/a,n/a
B2,invalid_opcode_table_v,NOP,2,2,invalid->NOP (X2),LDA,ZPG_IND,2,5,no,yes,no,mismatch
B3,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
B4,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDY,ZPG_X,2,4,n/a,n/a,n/a,n/a
B5,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDA,ZPG_X,2,4,n/a,n/a,n/a,n/a
B6,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDX,ZPG_Y,2,4,n/a,n/a,n/a,n/a
B7,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
B8,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CLV,IMP,1,2,n/a,n/a,n/a,n/a
B9,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDA,ABS_Y,3,4,n/a,n/a,n/a,n/a
BA,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,TSX,IMP,1,2,n/a,n/a,n/a,n/a
BB,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
BC,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDY,ABS_X,3,4,n/a,n/a,n/a,n/a
BD,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDA,ABS_X,3,4,n/a,n/a,n/a,n/a
BE,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,LDX,ABS_Y,3,4,n/a,n/a,n/a,n/a
BF,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
C0,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CPY,IMM,2,2,n/a,n/a,n/a,n/a
