status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
planned,misc,DB,DCP,ABS_Y,7,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+Y)); ; TMP += Y; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2--; ; write(TMP, TMP2); ; do_cmp(A, TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=dcp_aby; cycles_source=mame_seq_derived
planned,nop,DC,NOP,ABS_X,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, X)) { ; read(set_l(TMP, TMP+X)); ; read(TMP + X); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=nop_abx; cycles_source=mame_seq_derived
in_progress,alu,DD,CMP,ABS_X,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, X)) { ; read(set_l(TMP, TMP+X)); ; TMP += X; ; TMP2 = read(TMP); ; do_cmp(A, TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=cmp_abx; cycles_source=mame_seq_derived
planned,inc_dec,DE,DEC,ABS_X,7,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+X)); ; TMP += X; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2--; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",mode-dependent,no,read-modify-write,,high (mame opcode map),mame_handler=dec_abx; cycles_source=mame_seq_derived
planned,misc,DF,DCP,ABS_X,7,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+X)); ; TMP += X; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2--; ; write(TMP, TMP2); ; do_cmp(A, TMP2); ; prefetch();",mode-dependent,no,read,,high (mame opcode map),mame_handler=dcp_abx; cycles_source=mame_seq_derived
in_progress,alu,E0,CPX,IMM,2,"TMP = read_pc(); ; PC++; ; do_cmp(X, TMP); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=cpx_imm; cycles_source=mame_seq_derived
in_progress,alu,E1,SBC,IND_X,6,"TMP2 = read_pc(); ; PC++; ; read(TMP2); ; TMP2 += X; ; TMP = read(TMP2 & 0xff); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; TMP2 = read(TMP); ; do_sbc(TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=sbc_idx; cycles_source=mame_seq_derived
planned,nop,E2,NOP,IMM,2,read_pc(); ; PC++; ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=nop_imm; cycles_source=mame_seq_derived
planned,misc,E3,ISB,IND_X,8,"TMP2 = read_pc(); ; PC++; ; read(TMP2); ; TMP2 += X; ; TMP = read(TMP2 & 0xff); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; write(TMP, TMP2); ; do_sbc(TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=isb_idx; cycles_source=mame_seq_derived
in_progress,alu,E4,CPX,ZPG,3,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; do_cmp(X, TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=cpx_zpg; cycles_source=mame_seq_derived
in_progress,alu,E5,SBC,ZPG,3,TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; do_sbc(TMP2); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=sbc_zpg; cycles_source=mame_seq_derived
